num,sheet,http / sip ,,,,,http / ftp,,,,,sip / ftp,,,,,http / http ( 50 % diff),,,,,sip / sip (50% diff),,,,,ftp / ftp (50 % diff),,,,,http / http (100% diff),,,,,sip / sip ( 100% diff),,,,,ftp / ftp (100 % diff),,,,
,,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch
14,outputSheet 14,0.517,0.7315,0.8923,0.2853,0.5763,0.103,0.2524,0.8483,0.1304,0.5171,0.1141,0.2475,0.8524,0.1476,0.5178,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9961,0.822,0.8655,0.9989,1,?,0.535,0.7299,0.907,0.7566,0.7655,0.2923,0.5785,0.9796,0.8516,0.9531,0.5659,0.7,0.6814,1,1,0,0
15,outputSheet 15,0.592,0.7569,0.8924,0.2676,0.5588,0.1186,0.2572,0.8505,0.1041,0.5121,0.118,0.2508,0.8539,0.147,0.5176,0.9563,0.894,0.8902,0.4789,0.5604,0.9997,0.9915,0.996,0.8212,0.8655,0.9996,1,?,0.7099,0.8319,0.8056,0.8079,0.7127,0.1884,0.5335,0.9773,0.845,0.953,0.5652,0.6997,0.4506,1,1,0,0
16,outputSheet 16,0.5157,0.7315,0.9025,0.2846,0.5761,0.1043,0.2524,0.8485,0.1306,0.5171,0.1184,0.2475,0.8528,0.1482,0.5178,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9961,0.8207,0.865,0.9996,1,?,0.7072,0.8339,0.9098,0.8235,0.748,0.2476,0.5625,0.9782,0.8516,0.9532,0.5648,0.6996,0.8016,1,1,0.1531,0.5203
17,outputSheet 17,0.5159,0.7365,0.8925,0.2857,0.5764,0.1076,0.2524,0.8505,0.1292,0.5167,0.1193,0.2441,0.8544,0.1469,0.5175,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9961,0.8211,0.8654,0.9997,1,?,0.811,0.8923,0.9086,0.7843,0.7487,0.2464,0.5523,0.9785,0.8583,0.9528,0.5655,0.6998,0.5328,1,1,0,0
18,outputSheet 18,0.5154,0.7365,0.8923,0.2852,0.5764,0.1077,0.2524,0.85,0.1299,0.5169,0.1176,0.2441,0.8539,0.1469,0.5174,1,1,1,1,1,0.9997,1,0.9961,0.8206,0.8647,0.9994,1,?,0.6632,0.8011,0.9101,0.8235,0.7371,0.2156,0.5437,0.9783,0.8583,0.9529,0.5653,0.6999,0.7272,1,1,0,0
19,outputSheet 19,0.4892,0.7179,0.8923,0.2711,0.5835,0.1048,0.2485,0.8484,0.1627,0.5241,0.1208,0.2475,0.8546,0.1473,0.5174,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9915,0.9958,0.8206,0.8648,0.9992,1,?,0.5636,0.7569,0.9376,0.8113,0.8044,0.3269,0.5898,0.9787,0.8516,0.9536,0.5652,0.6996,0.5824,1,1,0,0
20,outputSheet 20,0.6509,0.6861,0.8724,0.2118,0.54,0.1198,0.2252,0.8503,0.073,0.5076,0.1169,0.2475,0.8547,0.1467,0.5175,0.8851,0.8085,0.8885,0.4681,0.5594,0.9997,0.9915,0.9959,0.8214,0.8656,0.9992,1,?,0.5535,0.7478,0.626,0.7266,0.6884,0.1586,0.5271,0.9778,0.8516,0.9528,0.5649,0.6997,0.9957,1,1,0.3154,0.5671
21,outputSheet 21,0.5909,0.7569,0.894,0.2676,0.5585,0.116,0.2572,0.8504,0.1044,0.5123,0.1168,0.2508,0.8538,0.1473,0.5178,0.9563,0.894,0.8902,0.4789,0.5604,0.9997,0.9915,0.996,0.8209,0.865,0.9992,1,?,0.563,0.7439,0.8024,0.7467,0.7214,0.2268,0.5505,0.9778,0.845,0.9527,0.5654,0.6996,0.5015,1,1,0,0
22,outputSheet 22,0.5165,0.7432,0.902,0.2854,0.5765,0.1094,0.2524,0.8512,0.1293,0.5167,0.1197,0.2475,0.8551,0.1468,0.5174,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9959,0.8214,0.8658,0.9992,1,?,0.5213,0.728,0.9071,0.7697,0.7657,0.2923,0.5787,0.9786,0.8516,0.9534,0.5652,0.6997,0.7905,1,1,0.1962,0.5296
23,outputSheet 23,0.5013,0.7215,0.8927,0.2741,0.5697,0.1038,0.2462,0.849,0.1702,0.5273,0.1197,0.2508,0.8557,0.1468,0.5173,0.9958,0.9156,0.9228,0.5563,0.574,0.9997,0.9915,0.996,0.8208,0.865,0.9992,1,?,0.5212,0.7295,0.935,0.795,0.8252,0.3576,0.612,0.9777,0.845,0.9534,0.5651,0.6994,0.9987,1,1,0.3111,0.5784
