num,sheet,http / sip ,,,,,http / ftp,,,,,sip / ftp,,,,,http / http ( 50 % diff),,,,,sip / sip (50% diff),,,,,ftp / ftp (50 % diff),,,,,http / http (100% diff),,,,,sip / sip ( 100% diff),,,,,ftp / ftp (100 % diff),,,,
,,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch
14,outputSheet 14,0.6021,0.6948,0.891,0.2885,0.5879,0.2579,0.2524,0.283,0,0,0.2932,0.2475,0.3112,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,outputSheet 15,0.6779,0.7,0.9182,0.2968,0.5962,0.2044,0.2572,-0.7439,0,0,0.1929,0.2508,-0.6377,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,outputSheet 16,0.6021,0.6948,0.891,0.2885,0.5879,0.2312,0.2524,?,0.0451,0.5045,0.269,0.2475,?,0.0571,0.5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,outputSheet 17,0.6021,0.6948,0.891,0.2885,0.5879,0.3011,0.2524,-0.3032,0,0,0.3168,0.2441,-0.2733,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,outputSheet 18,0.6021,0.6948,0.891,0.2885,0.5879,0.352,0.2524,-0.3919,0,0,0.2578,0.2441,-0.2871,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,outputSheet 19,0.5743,0.6937,0.8603,0.259,0.556,0.2697,0.2485,-1.6308,0,0,0.2989,0.2475,-1.7173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,outputSheet 20,0.7344,0.6364,0.9173,0.2823,0.5647,0.1455,0.2252,?,0.0615,0.506,0.1432,0.2475,?,0.1311,0.5139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,outputSheet 21,0.6779,0.7,0.9182,0.2968,0.5962,0.2863,0.2572,?,0,0,0.3089,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,outputSheet 22,0.6021,0.6948,0.891,0.2885,0.5879,0.2649,0.2524,0.9011,0.1996,0.536,0.2924,0.2475,0.9103,0.1882,0.5421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,outputSheet 23,0.5843,0.6914,0.8569,0.2402,0.5482,0.1039,0.2462,?,0.1632,0.5254,0.1143,0.2508,?,0.1344,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,outputSheet 24,0.5802,0.6981,0.8718,0.277,0.5683,0.1032,0.2492,0.8457,0.1661,0.5243,0.1181,0.2475,0.8534,0.163,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,outputSheet 25,0.6021,0.6948,0.891,0.2885,0.5879,0.1384,0.2524,?,0.1126,0.5125,0.1594,0.2475,?,0.1335,0.5143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,outputSheet 26,0.5743,0.6937,0.8603,0.259,0.556,0.2387,0.2485,0.3912,0,0,0.295,0.2475,0.3788,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,outputSheet 27,0.5743,0.6937,0.8603,0.259,0.556,0.2051,0.2485,0.7044,0.0659,0.5068,0.2501,0.2508,0.6998,0.0582,0.5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,outputSheet 28,0.5743,0.6937,0.8603,0.259,0.556,0.1879,0.2485,0.8085,0.0905,0.5091,0.2217,0.2508,0.8095,0.0801,0.5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,outputSheet 29,0.7344,0.6364,0.9173,0.2823,0.5647,0.1185,0.2252,0.8548,0.0849,0.5081,0.1196,0.2475,0.8598,0.1601,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,outputSheet 30,0.5743,0.6937,0.8603,0.259,0.556,0.2235,0.2485,?,0,0,0.2687,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,outputSheet 31,0.6021,0.6948,0.891,0.2885,0.5879,0.2594,0.2524,-1.1564,0,0,0.2958,0.2475,-1.0674,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,outputSheet 32,0.593,0.6948,0.8928,0.2799,0.5945,0.1601,0.2524,0.6823,0.0887,0.5108,0.1776,0.2508,0.7057,0.1079,0.5109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,outputSheet 33,0.5743,0.6937,0.8603,0.259,0.556,0.1152,0.2485,0.8548,0.1578,0.5247,0.1282,0.2475,0.8603,0.1426,0.5164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,outputSheet 34,0.6021,0.6948,0.891,0.2885,0.5879,0.2517,0.2524,?,0,0,0.3047,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,outputSheet 35,0.6021,0.6948,0.891,0.2885,0.5879,0.1882,0.2524,?,0.0361,0.5033,0.1988,0.2475,?,0.0456,0.5036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,outputSheet 36,0.5802,0.6981,0.8718,0.277,0.5683,0.2467,0.2492,?,0,0,0.2845,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,outputSheet 37,0.6021,0.6948,0.891,0.2885,0.5879,0.2959,0.2524,?,0,0,0.2966,0.2542,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,outputSheet 38,0.6021,0.6948,0.891,0.2885,0.5879,0.1648,0.2524,?,0.0732,0.507,0.1879,0.2475,?,0.0905,0.5071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,outputSheet 39,0.7344,0.6364,0.9173,0.2823,0.5647,0.0798,0.2252,?,0.0623,0.5067,0.0764,0.2475,?,0.1289,0.5143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,outputSheet 40,0.6021,0.6948,0.891,0.2885,0.5879,0.1664,0.2524,?,0.0928,0.5102,0.2002,0.2475,?,0.1138,0.5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,outputSheet 41,0.5743,0.6937,0.8603,0.259,0.556,0.1642,0.2485,0.7263,0.1214,0.5139,0.1987,0.2508,0.7229,0.1086,0.5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,outputSheet 42,0.5743,0.6937,0.8603,0.259,0.556,0.1973,0.2485,?,0,0,0.2591,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,outputSheet 43,0.6021,0.6948,0.891,0.2885,0.5879,0.1094,0.2524,0.8511,0.1286,0.5174,0.1178,0.2475,0.8548,0.1456,0.5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,outputSheet 44,0.6021,0.6948,0.891,0.2885,0.5879,0.2547,0.2524,-4.384,0,0,0.308,0.2508,-4.2445,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,outputSheet 45,0.6021,0.6948,0.891,0.2885,0.5879,0.1116,0.2524,0.8619,0.1379,0.5175,0.1296,0.2475,0.8667,0.1572,0.5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,outputSheet 46,0.5743,0.6937,0.8603,0.259,0.556,0.3152,0.2485,?,0,0,0.1846,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,outputSheet 47,0.5743,0.6937,0.8603,0.259,0.556,0.2403,0.2485,0.4163,0.0464,0.5035,0.3094,0.2575,0.3776,0.0411,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,outputSheet 48,0.6021,0.6948,0.891,0.2885,0.5879,0.2589,0.2524,-2.7452,0,0,0.3136,0.2475,-2.4505,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,outputSheet 49,0.6021,0.6948,0.891,0.2885,0.5879,0.2191,0.2524,?,0,0,0.2557,0.2441,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,outputSheet 50,0.6021,0.6948,0.891,0.2885,0.5879,0.2691,0.2524,?,0,0,0.3131,0.2441,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
